product_brand,product_title,predicted_category,abrasive_scrub_binary,absorbent_mattifier_binary,anti-acne_binary,antimicrobial_antibacterial_binary,antioxidant_binary,astringent_binary,buffering_binary,cell-communicating_ingredient_binary,chelating_binary,colorant_binary,deodorant_binary,emollient_binary,emulsifying_binary,emulsion_stabilising_binary,exfoliant_binary,moisturizer_humectant_binary,perfuming_binary,preservative_binary,skin_brightening_binary,skin-identical_ingredient_binary,solvent_binary,soothing_binary,sunscreen_binary,surfactant_cleansing_binary,viscosity_controlling_binary
Avon Anew,Anew Solar Advance SPF 50 Anti-wrinkle Ultra Matte Sun Cream,Sunscreen,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Catrice,Go Pastel Top Coat,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Avon,Renew Perfect Skin Gel-Creme Matificante Fps 20,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
L'Oreal Professionnel,Serioxyl Thickening & Detangling Conditioner,Conditioner,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1
PLUM,Hemp Face Oil,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
PLUM,Hemp & Ceramides Moisturizer,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Simple Kind To Skin,Booster Serum 10% Hemp Seed Oil +B3,Face Serum,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1
PLUM,0.5% Retinol Renewing Night Cream,Face Moisturizer,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Loreal Elseve,Óleo Extraordinário Creme De Pentear,Face Moisturizer,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Garnier,Soothing Rice Shampoo,Shampoo,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Avon Anew Clinical,Anew Clinical Even Texture & Tone Correcting Serum,Face Serum,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
PLUM,Bodylovin Feeling So Rose Body Yoghurt,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Matrix,Instacure Build-A-Bond Instant Revival Liquid Mask,Face Mask,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Avon,Anew Dual Defence Clarifying Treatment Lotion,Face Serum,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Astra,Pure Beauty Natural Nail Filler,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Dove,Pro-retinol + Firming Crème Body Serum,Face Serum,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Avon Care,Goodnight Sleep Cream,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
rhode skin,Peptide Glazing Fluid,Face Serum,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Avon,Anew Platinum Day Cream Spf 25,Sunscreen,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1
L'Oreal,Elvive Extraordinary Oil More Than Shampoo,Shampoo,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1
Dr. G,R.E.D Blemish Repair Soothing Cream,Acne Treatment,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Biolage,Advanced Recovery Deep Treatment Pack,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Avon Anew,Reversalist Day Perfecting Cream SPF25,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1
Avon,Clare Aclara Dia,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1
Avon,Anew Reversalist Complete Renewal Broad Spectrum Spf 25 Day Cream,Sunscreen,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1
Pond's,Age Miracle Ultimate Youth Day Serum,Face Serum,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Avon,True Nutra Effects Hydration Day Cream Spf 15,Sunscreen,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Avon,Skinvincible Deep Recovery Cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Matrix,Food For Soft Rich Hydrating Treatment Mask,Face Mask,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
L'Oreal,Elvive Óleo Extraordinario Mascarilla Nutrición Intensa,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Matrix,Total Results Unbreak My Blonde Conditioner,Conditioner,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Nivea,Joy Of Life Deo Roll-on,Face Serum,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Redken,Frizz Dismiss Mask,Face Mask,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
Avon Care,Creme Facial Uniformizador,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Avon Anew,Protector Solar Matte FPS 50,Sunscreen,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Redken,Acidic Bonding Concentrate Conditioner,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Simple,Calming Moisturiser With Hemp Seed Oil,Face Moisturizer,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Pureology,Strength Cure Conditioner,Conditioner,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Avon,Renew Solar Advanced Matte Ultraleve Anti-Idade FPS 70,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Garnier,Fructis Method For Curls N°0 Pre-Shampoo,Shampoo,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1
PLUM,Body Shimmer Oil Rose Gold,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
Avon Anew,Anew Luminosity Day Cream SPF 20 Pa++,Sunscreen,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Avon,Nutra Effects Radiance BB Cream,Brightening Treatment,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Avon,Anew Clinical Defend & Repair Multi-Shield Day Cream Spf 50 With Smartrepair,Sunscreen,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Pureology,Strength Cure Superfood Deep Treatment Mask,Face Mask,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1
L'Oreal,Elvive Extraordinary Oil Coco Multi-Use Balm With Fine Coconut Oil,Face Moisturizer,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
Avon,Anew Reversalist - Foaming Cleanser,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
L'Oreal,Everpure Bond Strengthening Conditioner,Conditioner,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Avon,Nutra Effects Radiance Tinted Moisturising Day Cream Spf 20,Sunscreen,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1
Avon,Clearskin Blemish Clearing AHA Treatment Cream,Acne Treatment,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Redken,Extreme Bleach Recovery Cica Cream Leave-in Treatment,Hair Treatment,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1
Clinique,Happy™ For Men Cologne Spray,Face Serum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
PLUM,Bodylovin' Vanilla Vibes Body Yogurt,Face Moisturizer,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1
Natura Bissé,Diamond Extreme Oil,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
PLUM,3% Vitamin C Moisturizer With Mandarin,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
L'Oreal,Elvive Colour Protect More Than Shampoo,Shampoo,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Avon Anew,Ultimate Supreme Dual Elixir,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
L'Oreal,L’oreal Everpure Bond Repair Shampoo,Shampoo,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Neutrogena,Norwegian Formula Foot Cream,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
Matrix,Total Results A Curl Can Dream Rich Mask,Face Mask,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Garnier,Fructis Strength & Shine Fortifying Conditioner,Conditioner,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Garnier,Goodbye Damage 10 In 1 All In One Leave In,Face Moisturizer,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1
Dove,0% Aluminium Salts Deodorant Peach & Lemon Verbena,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
Love beauty and planet,Tacuma Butter And Sweet Vanilla Lotion,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
Avon,Care Even Tone-C Facial Night Cream,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
Avon Anew,Pollution Protect+ Day Defence Lotion Spf 50,Sunscreen,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
Garnier,Fructis Vitamin & Strength 10-in-1 Leave-in Cream,Hair Treatment,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1
Medihealth,Umbrella Intelligent Fluido SPF 50+,Sunscreen,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1
Avon,Renew Solar Advance Matte Com Ácido Hialurônico FPS 50,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1
Drunk Elephant,T.L.C. Framboos™ Glycolic Resurfacing Night Serum,Face Serum,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Honest Beauty,Beauty Sleep Resurfacing Serum,Face Serum,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1
Freshzone ANB Korea Cosmetics,Intensive Retinol Serum,Face Serum,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Freshzone ANB Korea Cosmetics,Intensive Retinol Toner,Face Toner,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Viorica,Vie Anti-Age Depigmenting Toner,Face Toner,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Inika,Resveratrol Serum,Face Serum,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Freshly Cosmetics,Dandruff Control Shampoo,Shampoo,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Goldfaden MD,Facial Detox Clarify + Clear Mask,Face Mask,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Inika Organic,Phytofuse Renew Reservatrol Rich Night Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
PuroBIO,Sebum-Balancing And Matte Effect Face Cream,Face Moisturizer,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Bigger Than Beauty,Overnight Retexturizing Serum,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1
KORA ORGANICS,Noni Night AHA Resurfacing Serum,Face Serum,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Eminence Organic,Strawberry Rhubard Hyaluronic Hydrator,Face Serum,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
LANCER,The Method: Nourish Moisturiser Sensitive Skin,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Biolaven,Overnight Face Mask,Face Mask,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Freshzone ANB Korea Cosmetics,Intensive Retinol Cream,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Drunk Elephant,T.l.c. Framboos Glycolic Night Serum,Face Serum,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Croma,Farewell Irritated Skin,Face Serum,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Drunk Elephant,T.l.c. Glycolic Body Lotion,Body Moisturizer,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Neogen,Dermalogy V. Biome Infusion Serum,Face Serum,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
LANCER,Lift Serum Intense,Face Serum,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Dr. Frances Prenna Jones,Fix Holiday,Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
Ada tina,Resveratrol Active 10,Face Serum,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Beached,Rays For Days,Face Serum,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Drunk Elephant,T.L.C. Framboos™ Glycolic Night Serum,Face Serum,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
LANCER,The Method: Nourish,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Isntree,Hyaluronic Acid Water Mist,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0
Drunk Elephant,T.L.C. Sukari Babyfacial,Acne Treatment,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
MEDIPEEL,Mooltox Hyaluron Layer Body Lotion,Body Moisturizer,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Hourglass,Veil™ Retouching Fluid,Face Moisturizer,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Biologique Recherche,La Grande Crème,Face Moisturizer,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
John Frieda,Sheer Blonde Go Blonder Lightening Shampoo,Shampoo,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
PAPA RECIPE,Bombee Honey Gel Eye Mask,Face Mask,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Phyto,Phytodensia Plumping Shampoo,Shampoo,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
Tirtir,Collagen Core Glow Mask,Face Mask,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Goldfaden MD,Plant Profusion Regenerating Night Cream,Face Moisturizer,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1
Eminence Organic,Strawberry Rhubarb Masque,Face Mask,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Kahina Giving Beauty,Moisture Mask,Face Mask,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
SeneGence,Seneserum-C,Face Serum,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1
Goldfaden MD,Plant Profusion Supreme Serum,Face Serum,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1
Tata Harper,Elixir Vitae,Face Moisturizer,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Drunk Elephant,C-Firma Fresh Day Serum (2021 Reformulation),Face Serum,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1
Drunk Elephant,T.L.C. Happi Scalp Scrub,Exfoliant/Scrub,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Dermalogica,Clear Start Flashfoliant Foaming Exfoliator,Acne Treatment,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0
Eminence,Strawberry Rhubarb Masque,Face Mask,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
SeneGence,Seneserum C,Face Serum,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
RHRI,Apple Cider & Sea Salt Scalp Scrub Detox Scalp Scrub Treatment,Exfoliant/Scrub,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Drunk Elephant,Umbra Tinte Physical Daily Defense SPF 30,Sunscreen,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
Vita Liberata,Foaming Tan Water In Super Dark,Face Serum,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0
ASYSTEM,Overnight Rebuilding Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1
Oolaboo,Pure Comfort Cream,Face Moisturizer,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
John Frieda,Sheer Blonde Go Blonder Conditioner,Conditioner,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Skinn Cosmetics,Green Tea + Mint Cleanser,Acne Treatment,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Bare Minerals,Barepro 16 Hr Skin Perfecting Powder Foundation,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
Drunk Elephant,O-Bloos Rosi Drops,Face Serum,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
nuebiome,The Biotic Glow™ Ferment Essence,Face Serum,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0
John Frieda,Go Blonder Lightening Conditioner,Conditioner,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Bad Habit,Power Sleep Melatonin & Glycolic Night Cream,Face Moisturizer,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1
Florence by Mills,Feed Your Soul Love U A Latte Coffee Glow Mask,Face Mask,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
Aphrodite,Anti Ageing Firming Day Cream,Face Moisturizer,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
bareMinerals,BAREPRO 16-hr Skin-perfecting Powder Foundation,Face Moisturizer,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
Then I Met You,Rosé Resurfacing Facial Mask,Face Mask,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1
